concept_code,target_concept_code,concept_tier,target_tier,n11,n10,n01,n00,support_both,odds_ratio,log_odds_ratio,phi,p_target_given_code,p_target_given_no_code,n_code_before_target_final,n_target_before_code_final
30183-states_specify-45,32614-Symptoms_Ill_27,2,2,0,2,2,722,0.0,57.8,4.056988775678332,-0.0027624309392265192,0.0,0.0027624309392265192,2,2
30183-states_specify-45,32615-Symptoms_Ill_28,2,2,0,2,4,720,0.0,32.022222222222226,3.4664301062292022,-0.003912074453932455,0.0,0.0055248618784530384,2,4
30183-states_specify-45,32616-Symptoms_Ill_29,2,2,0,2,22,702,0.0,6.2444444444444445,1.831692179563426,-0.00929117682808958,0.0,0.03038674033149171,2,22
30183-states_specify-45,32617-Symptoms_Ill_30,2,2,0,2,11,713,0.0,12.408695652173913,2.5183974891135863,-0.00651912091670049,0.0,0.015193370165745856,2,11
30183-states_specify-45,32618-Symptoms_Ill_999,2,2,0,2,0,724,0.0,289.8,5.669191029886582,,0.0,0.0,2,0
30183-states_specify-45,bin_30106-currently_pregnant,2,2,0,2,11,706,0.0,12.28695652173913,2.5085382543212775,-0.006583170962920098,0.0,0.015341701534170154,2,11
30183-states_specify-45,bin_30107-alcohol_consume,2,2,2,0,448,259,0.0028208744710860366,2.8929765886287626,1.062285933541193,0.040350499579083626,1.0,0.6336633663366337,0,448
30183-states_specify-45,bin_30117-Deaf,2,2,0,2,10,710,0.0,13.533333333333333,2.605155777939577,-0.006246097408298845,0.0,0.013888888888888888,2,10
30183-states_specify-45,bin_30118-Blind,2,2,0,2,7,716,0.0,19.106666666666666,2.9500373142918614,-0.005193171285226762,0.0,0.009681881051175657,2,7
30183-states_specify-45,bin_30119-Concentrating,2,2,0,2,35,679,0.0,3.828169014084507,1.342386624675728,-0.011998483487524709,0.0,0.049019607843137254,2,35
30183-states_specify-45,bin_30120-Walking,2,2,0,2,40,682,0.0,3.3703703703703702,1.2150226405125208,-0.01272765351070196,0.0,0.055401662049861494,2,40
30183-states_specify-45,bin_30121-Dressing,2,2,0,2,8,715,0.0,16.83529411764706,2.8234775230661344,-0.00555560378149214,0.0,0.011065006915629323,2,8
30183-states_specify-45,bin_30122-Errands,2,2,0,2,15,703,0.0,9.07741935483871,2.2057899401951424,-0.007698459807738641,0.0,0.020891364902506964,2,15
30183-states_specify-45,bin_30123-ColorBlind,2,2,0,2,7,704,0.0,18.786666666666665,2.9331473983623697,-0.005281130106519417,0.0,0.009845288326300985,2,7
30183-states_specify-45,bin_31401-research_before,2,2,0,1,171,495,0.0,0.9630709426627794,-0.03762820150406164,-0.022752027415720983,0.0,0.25675675675675674,1,171
30183-states_specify-45,target_athome_positive,2,2,0,2,42,656,0.0,3.0894117647058823,1.1279807053783792,-0.013523807642947519,0.0,0.06017191977077364,2,42
30183-states_specify-45,target_pcr_positive,2,2,0,1,52,473,0.0,3.0063492063492063,1.1007264543604451,-0.014455491054248192,0.0,0.09904761904761905,1,52
30183-states_specify-50,30103-conditionsrisks-10,2,2,0,2,14,709,0.0,9.786206896551723,2.2809739347394684,-0.0073803178595804745,0.0,0.019363762102351315,2,14
30183-states_specify-50,30103-conditionsrisks-13,2,2,0,2,62,661,0.0,2.1168,0.7499055143785542,-0.016083661701987318,0.0,0.08575380359612725,2,62
30183-states_specify-50,30103-conditionsrisks-14,2,2,1,1,101,622,0.001379310344827586,6.1330049261083746,1.8136848298570207,0.05435124135584236,0.5,0.1396957123098202,1,101
